jay@MacBookPro ~/D/MA (main)> python src/training/rl/rl_q_learning.py                           (base) 
/Users/jay/miniconda3/lib/python3.10/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
Using device: mps
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
Initialized DynamicPatchEnv with patch score module: text_align_score
State dim: 515

=== Epoch 1/10 ===
Initialized DynamicPatchEnv with patch score module: text_align_score
Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation.
TCGA-05-4390-LUAD.svs | ep 1 | R=1.000 | zoom=0.50 | lambda=1.000 | eps=0.999
TCGA-05-4390-LUAD.svs | ep 2 | R=1.000 | zoom=0.50 | lambda=1.000 | eps=0.998
TCGA-05-4390-LUAD.svs | ep 3 | R=1.000 | zoom=0.50 | lambda=1.000 | eps=0.997
TCGA-05-4390-LUAD.svs | ep 4 | R=1.000 | zoom=0.67 | lambda=1.002 | eps=0.996
TCGA-05-4390-LUAD.svs | ep 5 | R=1.000 | zoom=0.00 | lambda=0.997 | eps=0.995
TCGA-05-4390-LUAD.svs | ep 6 | R=1.000 | zoom=0.00 | lambda=0.992 | eps=0.995
TCGA-05-4390-LUAD.svs | ep 7 | R=1.008 | zoom=0.50 | lambda=0.992 | eps=0.994
TCGA-05-4390-LUAD.svs | ep 8 | R=1.000 | zoom=0.00 | lambda=0.987 | eps=0.993
TCGA-05-4390-LUAD.svs | ep 9 | R=1.000 | zoom=0.00 | lambda=0.982 | eps=0.993
TCGA-05-4390-LUAD.svs | ep 10 | R=1.000 | zoom=0.00 | lambda=0.977 | eps=0.992
TCGA-05-4390-LUAD.svs | ep 11 | R=1.000 | zoom=0.00 | lambda=0.972 | eps=0.992
TCGA-05-4390-LUAD.svs | ep 12 | R=1.057 | zoom=0.67 | lambda=0.973 | eps=0.990
TCGA-05-4390-LUAD.svs | ep 13 | R=1.000 | zoom=0.00 | lambda=0.968 | eps=0.990
TCGA-05-4390-LUAD.svs | ep 14 | R=0.095 | zoom=1.00 | lambda=0.973 | eps=0.988
TCGA-05-4390-LUAD.svs | ep 15 | R=1.000 | zoom=0.00 | lambda=0.968 | eps=0.988
TCGA-05-4390-LUAD.svs | ep 16 | R=1.063 | zoom=0.67 | lambda=0.970 | eps=0.986
TCGA-05-4390-LUAD.svs | ep 17 | R=1.060 | zoom=0.67 | lambda=0.972 | eps=0.985
TCGA-05-4390-LUAD.svs | ep 18 | R=1.000 | zoom=0.00 | lambda=0.967 | eps=0.984
TCGA-05-4390-LUAD.svs | ep 19 | R=0.100 | zoom=1.00 | lambda=0.972 | eps=0.983
TCGA-05-4390-LUAD.svs | ep 20 | R=1.000 | zoom=0.00 | lambda=0.967 | eps=0.982
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-05-5423-LUAD.svs | ep 1 | R=1.000 | zoom=0.00 | lambda=0.962 | eps=0.982
TCGA-05-5423-LUAD.svs | ep 2 | R=1.000 | zoom=0.00 | lambda=0.957 | eps=0.981
TCGA-05-5423-LUAD.svs | ep 3 | R=1.000 | zoom=0.00 | lambda=0.952 | eps=0.981
TCGA-05-5423-LUAD.svs | ep 4 | R=1.000 | zoom=0.00 | lambda=0.947 | eps=0.980
TCGA-05-5423-LUAD.svs | ep 5 | R=1.000 | zoom=0.00 | lambda=0.942 | eps=0.980
TCGA-05-5423-LUAD.svs | ep 6 | R=0.175 | zoom=1.00 | lambda=0.947 | eps=0.978
TCGA-05-5423-LUAD.svs | ep 7 | R=1.000 | zoom=0.00 | lambda=0.942 | eps=0.978
TCGA-05-5423-LUAD.svs | ep 8 | R=1.000 | zoom=0.00 | lambda=0.937 | eps=0.977
TCGA-05-5423-LUAD.svs | ep 9 | R=1.000 | zoom=0.00 | lambda=0.932 | eps=0.977
TCGA-05-5423-LUAD.svs | ep 10 | R=0.205 | zoom=1.00 | lambda=0.937 | eps=0.975
TCGA-05-5423-LUAD.svs | ep 11 | R=1.000 | zoom=0.00 | lambda=0.932 | eps=0.975
TCGA-05-5423-LUAD.svs | ep 12 | R=1.068 | zoom=0.50 | lambda=0.932 | eps=0.974
TCGA-05-5423-LUAD.svs | ep 13 | R=1.000 | zoom=0.00 | lambda=0.927 | eps=0.973
TCGA-05-5423-LUAD.svs | ep 14 | R=1.147 | zoom=0.67 | lambda=0.928 | eps=0.972
TCGA-05-5423-LUAD.svs | ep 15 | R=1.000 | zoom=0.00 | lambda=0.923 | eps=0.971
TCGA-05-5423-LUAD.svs | ep 16 | R=1.000 | zoom=0.00 | lambda=0.918 | eps=0.971
TCGA-05-5423-LUAD.svs | ep 17 | R=1.000 | zoom=0.00 | lambda=0.913 | eps=0.970
TCGA-05-5423-LUAD.svs | ep 18 | R=1.000 | zoom=0.00 | lambda=0.908 | eps=0.970
TCGA-05-5423-LUAD.svs | ep 19 | R=1.000 | zoom=0.00 | lambda=0.903 | eps=0.969
TCGA-05-5423-LUAD.svs | ep 20 | R=1.000 | zoom=0.00 | lambda=0.898 | eps=0.969
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-05-5715-LUAD.svs | ep 1 | R=1.305 | zoom=0.75 | lambda=0.901 | eps=0.967
TCGA-05-5715-LUAD.svs | ep 2 | R=1.198 | zoom=0.67 | lambda=0.903 | eps=0.966
TCGA-05-5715-LUAD.svs | ep 3 | R=1.000 | zoom=0.00 | lambda=0.898 | eps=0.965
TCGA-05-5715-LUAD.svs | ep 4 | R=1.205 | zoom=0.67 | lambda=0.899 | eps=0.964
TCGA-05-5715-LUAD.svs | ep 5 | R=1.202 | zoom=0.67 | lambda=0.901 | eps=0.962
TCGA-05-5715-LUAD.svs | ep 6 | R=1.000 | zoom=0.00 | lambda=0.896 | eps=0.962
TCGA-05-5715-LUAD.svs | ep 7 | R=1.000 | zoom=0.00 | lambda=0.891 | eps=0.961
TCGA-05-5715-LUAD.svs | ep 8 | R=1.000 | zoom=0.00 | lambda=0.886 | eps=0.961
TCGA-05-5715-LUAD.svs | ep 9 | R=1.000 | zoom=0.00 | lambda=0.881 | eps=0.960
TCGA-05-5715-LUAD.svs | ep 10 | R=1.119 | zoom=0.50 | lambda=0.881 | eps=0.959
TCGA-05-5715-LUAD.svs | ep 11 | R=1.000 | zoom=0.00 | lambda=0.876 | eps=0.959
TCGA-05-5715-LUAD.svs | ep 12 | R=1.248 | zoom=0.67 | lambda=0.878 | eps=0.957
TCGA-05-5715-LUAD.svs | ep 13 | R=1.000 | zoom=0.00 | lambda=0.873 | eps=0.957
TCGA-05-5715-LUAD.svs | ep 14 | R=1.255 | zoom=0.67 | lambda=0.874 | eps=0.956
TCGA-05-5715-LUAD.svs | ep 15 | R=1.000 | zoom=0.00 | lambda=0.869 | eps=0.955
TCGA-05-5715-LUAD.svs | ep 16 | R=1.000 | zoom=0.00 | lambda=0.864 | eps=0.955
TCGA-05-5715-LUAD.svs | ep 17 | R=1.136 | zoom=0.50 | lambda=0.864 | eps=0.954
TCGA-05-5715-LUAD.svs | ep 18 | R=1.136 | zoom=0.50 | lambda=0.864 | eps=0.953
TCGA-05-5715-LUAD.svs | ep 19 | R=1.136 | zoom=0.50 | lambda=0.864 | eps=0.952
TCGA-05-5715-LUAD.svs | ep 20 | R=1.000 | zoom=0.00 | lambda=0.859 | eps=0.951
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-18-3406-LUSC.svs | ep 1 | R=0.563 | zoom=1.00 | lambda=0.864 | eps=0.949
TCGA-18-3406-LUSC.svs | ep 2 | R=0.543 | zoom=1.00 | lambda=0.869 | eps=0.947
TCGA-18-3406-LUSC.svs | ep 3 | R=1.131 | zoom=0.50 | lambda=0.869 | eps=0.946
TCGA-18-3406-LUSC.svs | ep 4 | R=1.262 | zoom=0.67 | lambda=0.871 | eps=0.945
TCGA-18-3406-LUSC.svs | ep 5 | R=0.517 | zoom=1.00 | lambda=0.876 | eps=0.943
TCGA-18-3406-LUSC.svs | ep 6 | R=1.000 | zoom=0.00 | lambda=0.871 | eps=0.943
TCGA-18-3406-LUSC.svs | ep 7 | R=1.258 | zoom=0.67 | lambda=0.873 | eps=0.941
TCGA-18-3406-LUSC.svs | ep 8 | R=1.127 | zoom=0.50 | lambda=0.873 | eps=0.940
TCGA-18-3406-LUSC.svs | ep 9 | R=0.510 | zoom=1.00 | lambda=0.878 | eps=0.938
TCGA-18-3406-LUSC.svs | ep 10 | R=1.122 | zoom=0.50 | lambda=0.878 | eps=0.938
TCGA-18-3406-LUSC.svs | ep 11 | R=0.490 | zoom=1.00 | lambda=0.883 | eps=0.936
TCGA-18-3406-LUSC.svs | ep 12 | R=1.117 | zoom=0.50 | lambda=0.883 | eps=0.935
TCGA-18-3406-LUSC.svs | ep 13 | R=1.000 | zoom=0.00 | lambda=0.878 | eps=0.934
TCGA-18-3406-LUSC.svs | ep 14 | R=1.122 | zoom=0.50 | lambda=0.878 | eps=0.933
TCGA-18-3406-LUSC.svs | ep 15 | R=0.490 | zoom=1.00 | lambda=0.883 | eps=0.931
TCGA-18-3406-LUSC.svs | ep 16 | R=0.470 | zoom=1.00 | lambda=0.888 | eps=0.930
TCGA-18-3406-LUSC.svs | ep 17 | R=1.225 | zoom=0.67 | lambda=0.889 | eps=0.928
TCGA-18-3406-LUSC.svs | ep 18 | R=1.000 | zoom=0.00 | lambda=0.884 | eps=0.928
TCGA-18-3406-LUSC.svs | ep 19 | R=1.000 | zoom=0.00 | lambda=0.879 | eps=0.927
TCGA-18-3406-LUSC.svs | ep 20 | R=0.483 | zoom=1.00 | lambda=0.884 | eps=0.925
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-18-3407-LUSC.svs | ep 1 | R=1.000 | zoom=0.00 | lambda=0.879 | eps=0.925
TCGA-18-3407-LUSC.svs | ep 2 | R=1.000 | zoom=0.00 | lambda=0.874 | eps=0.924
TCGA-18-3407-LUSC.svs | ep 3 | R=1.000 | zoom=0.00 | lambda=0.869 | eps=0.924
TCGA-18-3407-LUSC.svs | ep 4 | R=1.000 | zoom=0.00 | lambda=0.864 | eps=0.924
TCGA-18-3407-LUSC.svs | ep 5 | R=1.136 | zoom=0.50 | lambda=0.864 | eps=0.923
TCGA-18-3407-LUSC.svs | ep 6 | R=1.000 | zoom=0.00 | lambda=0.859 | eps=0.922
TCGA-18-3407-LUSC.svs | ep 7 | R=1.141 | zoom=0.50 | lambda=0.859 | eps=0.921
TCGA-18-3407-LUSC.svs | ep 8 | R=1.282 | zoom=0.67 | lambda=0.861 | eps=0.920
TCGA-18-3407-LUSC.svs | ep 9 | R=1.139 | zoom=0.50 | lambda=0.861 | eps=0.919
TCGA-18-3407-LUSC.svs | ep 10 | R=1.139 | zoom=0.50 | lambda=0.861 | eps=0.918
