jay@MacBookPro ~/D/MA (main)> python src/training/rl/rl_q_learning.py                           (base) 
/Users/jay/miniconda3/lib/python3.10/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
Using device: mps
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
Initialized DynamicPatchEnv with patch score module: text_align_score
State dim: 515

=== Epoch 1/10 ===
Initialized DynamicPatchEnv with patch score module: text_align_score
Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation.
TCGA-05-4390-LUAD.svs | ep 1 | R=1.000 | zoom=0.00 | lambda=1.975 | eps=1.000
TCGA-05-4390-LUAD.svs | ep 2 | R=0.025 | zoom=0.50 | lambda=1.975 | eps=1.000
TCGA-05-4390-LUAD.svs | ep 3 | R=1.000 | zoom=0.00 | lambda=1.950 | eps=1.000
TCGA-05-4390-LUAD.svs | ep 4 | R=1.000 | zoom=0.00 | lambda=1.925 | eps=1.000
TCGA-05-4390-LUAD.svs | ep 5 | R=1.000 | zoom=0.00 | lambda=1.900 | eps=1.000
TCGA-05-4390-LUAD.svs | ep 6 | R=0.100 | zoom=0.50 | lambda=1.900 | eps=1.000
TCGA-05-4390-LUAD.svs | ep 7 | R=0.100 | zoom=0.50 | lambda=1.900 | eps=1.000
TCGA-05-4390-LUAD.svs | ep 8 | R=1.000 | zoom=0.00 | lambda=1.875 | eps=1.000
TCGA-05-4390-LUAD.svs | ep 9 | R=1.000 | zoom=0.00 | lambda=1.850 | eps=1.000
TCGA-05-4390-LUAD.svs | ep 10 | R=1.000 | zoom=0.00 | lambda=1.825 | eps=1.000
TCGA-05-4390-LUAD.svs | ep 11 | R=1.000 | zoom=0.00 | lambda=1.800 | eps=1.000
TCGA-05-4390-LUAD.svs | ep 12 | R=1.000 | zoom=0.00 | lambda=1.775 | eps=1.000
TCGA-05-4390-LUAD.svs | ep 13 | R=1.000 | zoom=0.00 | lambda=1.750 | eps=1.000
TCGA-05-4390-LUAD.svs | ep 14 | R=1.000 | zoom=0.00 | lambda=1.725 | eps=1.000
TCGA-05-4390-LUAD.svs | ep 15 | R=1.000 | zoom=0.00 | lambda=1.700 | eps=1.000
TCGA-05-4390-LUAD.svs | ep 16 | R=-0.400 | zoom=0.67 | lambda=1.708 | eps=1.000
TCGA-05-4390-LUAD.svs | ep 17 | R=1.000 | zoom=0.00 | lambda=1.683 | eps=1.000
TCGA-05-4390-LUAD.svs | ep 18 | R=-2.050 | zoom=1.00 | lambda=1.708 | eps=1.000
TCGA-05-4390-LUAD.svs | ep 19 | R=-2.125 | zoom=1.00 | lambda=1.733 | eps=1.000
TCGA-05-4390-LUAD.svs | ep 20 | R=1.000 | zoom=0.00 | lambda=1.708 | eps=1.000
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-05-5423-LUAD.svs | ep 1 | R=1.000 | zoom=0.00 | lambda=1.683 | eps=1.000
TCGA-05-5423-LUAD.svs | ep 2 | R=-2.050 | zoom=1.00 | lambda=1.708 | eps=1.000
TCGA-05-5423-LUAD.svs | ep 3 | R=1.000 | zoom=0.00 | lambda=1.683 | eps=1.000
TCGA-05-5423-LUAD.svs | ep 4 | R=1.000 | zoom=0.00 | lambda=1.658 | eps=1.000
